Log_ID,Component_Installed,Supplier_Code,Status_Notes
LOG-001,Mono Solar Panel 450W,ARAW-2026,Installed-OK
LOG-002,monosolar panel 450w,ARAW-2026,Installed-OK
LOG-003,Lithium Battery 100Ah,BPG-GRID,Pending-Charge
LOG-004,Inverter 5kW (Old Model),ARAW-2026,Installed-OK
LOG-005,Mono Solar Panel 450W,ALB-TECH,Installed-OK
LOG-006,Solar Cable 6mm,ARAW-2026,Installed-OK
LOG-007,Inverter 5kW (Old Model),ALB-TECH,Installed-OK
LOG-008,Mono Solar Panel 450W,BPG-GRID,Installed-OK
LOG-009,monosolar panel 450w,ARAW-2026,Installed-OK
LOG-010,Deep Cycle Battery,ALB-TECH,Installed-OK
LOG-011,Inverter 5kW (Old Model),ARAW-2026,Installed-OK
LOG-012,Solar Cable 6mm,BPG-GRID,Installed-OK
LOG-013,Mono Solar Panel 450W,ALB-TECH,Installed-OK
LOG-014,Lithium Battery 100Ah,ARAW-2026,Installed-OK
LOG-015,monosolar panel 450w,BPG-GRID,Installed-OK
LOG-016,Inverter 5kW (Old Model),ALB-TECH,Installed-OK
LOG-017,Deep Cycle Battery,ARAW-2026,Installed-OK
LOG-018,Solar Cable 6mm,ALB-TECH,Installed-OK
LOG-019,Mono Solar Panel 450W,BPG-GRID,Installed-OK
LOG-020,Inverter 5kW (Old Model),ARAW-2026,Installed-OK
LOG-021,Lithium Battery 100Ah,ALB-TECH,Installed-OK
LOG-022,monosolar panel 450w,ARAW-2026,Installed-OK
LOG-023,Solar Cable 6mm,BPG-GRID,Installed-OK
LOG-024,Mono Solar Panel 450W,ALB-TECH,Installed-OK
LOG-025,Inverter 5kW (Old Model),ARAW-2026,Installed-OK
LOG-026,Deep Cycle Battery,BPG-GRID,Installed-OK
LOG-027,Solar Cable 6mm,ALB-TECH,Installed-OK
LOG-028,monosolar panel 450w,ARAW-2026,Installed-OK
LOG-029,Lithium Battery 100Ah,BPG-GRID,Installed-OK
LOG-030,Inverter 5kW (Old Model),ALB-TECH,Installed-OK
LOG-031,Mono Solar Panel 450W,ARAW-2026,Installed-OK
LOG-032,Solar Cable 6mm,BPG-GRID,Installed-OK
LOG-033,monosolar panel 450w,ALB-TECH,Installed-OK
LOG-034,Inverter 5kW (Old Model),ARAW-2026,Installed-OK
LOG-035,Deep Cycle Battery,BPG-GRID,Installed-OK
LOG-036,Lithium Battery 100Ah,ALB-TECH,Installed-OK
LOG-037,Solar Cable 6mm,ARAW-2026,Installed-OK
LOG-038,Mono Solar Panel 450W,BPG-GRID,Installed-OK
LOG-039,monosolar panel 450w,ALB-TECH,Installed-OK
LOG-040,Inverter 5kW (Old Model),ARAW-2026,Installed-OK
LOG-041,Solar Cable 6mm,BPG-GRID,Installed-OK
LOG-042,Deep Cycle Battery,ALB-TECH,Installed-OK
LOG-043,Lithium Battery 100Ah,ARAW-2026,Installed-OK
LOG-044,monosolar panel 450w,BPG-GRID,Installed-OK
LOG-045,Inverter 5kW (Old Model),ALB-TECH,Installed-OK
LOG-046,Solar Cable 6mm,ARAW-2026,Installed-OK
LOG-047,Mono Solar Panel 450W,BPG-GRID,Installed-OK
LOG-048,Deep Cycle Battery,ALB-TECH,Installed-OK
LOG-049,Lithium Battery 100Ah,ARAW-2026,Installed-OK
LOG-050,Inverter 5kW (Old Model),BPG-GRID,Installed-OK